Source File Description,Business Name,Record Number,table_name,file_title,Source Field PIC,Source Field Length,SourceField Pos,Source Field Start Pos,Source Field End Pos,On-Line Source Screen,Online Source Field,Format,Version,Change Notes,Source File_Update Date,Notes,Data Dictionary_Update Date,Clearing
Client Householding Transmission,INVESTOR FIRM ADD DATE,Record,,,PIC X(8),8,339-346,339,346,,,YYYYMMDD,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
Client Householding Transmission,INVESTOR FIRM CHANGE DATE,Record,,,PIC X(8),8,347-354,347,354,,,YYYYMMDD,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
Client Householding Transmission,RELATIONSHIP SOURCE,Record,,,PIC X(5),5,355-359,355,359,,,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
Client Householding Transmission,RELATIONSHIP CREATOR USER/SYSTEM,Record,,,PIC X(20),20,360-379,360,379,,,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
Client Householding Transmission,RELATIONSHIP LAST UPDATE USER/SYSTEM,Record,,,PIC X(20),20,380-399,380,399,,,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
Client Householding Transmission,RELATIONSHIP ADD DATE,Record,,,PIC X(8),8,400-407,400,407,,,YYYYMMDD,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
Client Householding Transmission,RELATIONSHIP CHANGE DATE,Record,,,PIC X(8),8,408-415,408,415,,,YYYYMMDD,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
Client Householding Transmission,ACCOUNT DISPLAY INDICATOR,Record,,,PIC X(1),1,416-416,416,416,,,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
Client Householding Transmission,INVESTOR RANK,Record,,,PIC 9(3),3,417-419,417,419,,,N,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
Client Householding Transmission,CLIENT CUSTOM FIELD,Record,,,PIC X(60),60,420-479,420,479,,,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
Client Householding Transmission,CLIENT CUSTOM FIELD,Record,,,PIC X(60),60,480-539,480,539,,,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
Client Householding Transmission,CLIENT CUSTOM FIELD,Record,,,PIC X(60),60,540-599,540,599,,,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
Client Householding Transmission,EXTERNAL REFERENCE KEY,Record,,,PIC X(15),15,600-614,600,614,,,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/30/2013,TRUE
Client Householding Transmission,FFR XREF,Record,,,PIC X(09),9,615-623,615,623,BNAM DISP BOOK,CUST#:,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/30/2013,TRUE
Client Householding Transmission,PORTAL USER ID,Record,,,PIC X(10),10,624-633,624,633,,,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,12/5/2013,TRUE
Client Householding Transmission,COMPANY TYPE CODE,Record,,,PIC X(5),5,634-638,634,638,,,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,8/24/2016,TRUE
Client Householding Transmission,FILLER,Record,,,PIC X(562),562,639-1200,639,1200,,,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,"08/24/2016 - Updated start pos and length to adjust for new company type code addition. PPMC - TAP_Collab Investor ID	 - 5867924",8/24/2016,TRUE
Client Householding Transmission,RECORD TYPE,Trailer,,,PIC X(1),1,1-Jan,1,1,,,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
Client Householding Transmission,FILLER,Trailer,,,PIC X(20),20,21-Feb,2,21,,,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
Client Householding Transmission,TOTAL RECORDS,Trailer,,,PIC X(15),15,22-36,22,36,,,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
Client Householding Transmission,FILLER,Trailer,,,PIC X(4),4,37-40,37,40,,,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
Client Householding Transmission,TOTAL ACCOUNTS,Trailer,,,PIC X(15),15,42-55,42,55,,,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
Client Householding Transmission,FILLER,Trailer,,,PIC X(1145),1145,56-1200,56,1200,,,AN,4.4.6,06/02/2021 - Added deleted PORTAL USER IDs guidance to File Processing Guidelines,6/2/2021,,5/18/2012,TRUE
College Savings Plan 529 Allocations,RECORD NUMBER,Header,,,PIC X(01),1,1-Jan,1,1,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,SUPER BRANCH,Header,,,PIC X(03),3,4-Feb,2,4,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,FILLER,Header,,,PIC X(17),17,21-May,5,21,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,FILE ORIGIN,Header,,,PIC X(16),16,22-37,22,37,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,FILLER,Header,,,PIC X(04),4,38-41,38,41,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,FILE TITLE,Header,,,PIC X(16),16,42-57,42,57,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,FILLER,Header,,,PIC X(05),5,58-62,58,62,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,HEADER DATE,Header,,,PIC X(08),6,63-68,63,68,,,MMDDYY,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,FILLER,Header,,,PIC X(432),432,69-500,69,500,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,RECORD NUMBER,Record,,,PIC X(01),1,1-Jan,1,1,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,FIRM,Record,,,PIC X(04),4,5-Feb,2,5,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,BRANCH,Record,,,PIC X(03),3,8-Jun,6,8,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,ACCOUNT NUMBER,Record,,,PIC X(06),6,14-Sep,9,14,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,CSP PLAN ID,Record,,,PIC X(05),5,15-19,15,19,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,CSP PLAN SHORT NAME,Record,,,PIC X(30),30,20-49,20,49,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,CSP STATE CODE,Record,,,PIC X(02),2,50-51,50,51,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,CSP SHARE CLASS,Record,,,PIC X(30),30,52-81,52,81,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,CUSIP,Record,,,PIC X(09),9,82-90,82,90,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,CSP ALLOCATION PERCENTAGE,Record,,,PIC 9(03)V9(02),5,91-95,91,95,,,N,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,SYMBOL,Record,,,PIC X(09),9,96-104,96,104,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,SECURITY DESCRIPTION LINE 1,Record,,,PIC X(20),20,105-124,105,124,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,SECURITY DESCRIPTION LINE 2,Record,,,PIC X(20),20,125-144,125,144,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,10/4/2018,TRUE
College Savings Plan 529 Allocations,SECURITY DESCRIPTION LINE 3,Record,,,PIC X(20),20,145-164,145,164,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,10/4/2018,TRUE
College Savings Plan 529 Allocations,SECURITY DESCRIPTION LINE 4,Record,,,PIC X(20),20,165-184,165,184,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,10/4/2018,TRUE
College Savings Plan 529 Allocations,SECURITY DESCRIPTION LINE 5,Record,,,PIC X(20),20,185-204,185,204,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,10/4/2018,TRUE
College Savings Plan 529 Allocations,SECURITY DESCRIPTION LINE 6,Record,,,PIC X(20),20,205-224,205,224,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,10/4/2018,TRUE
College Savings Plan 529 Allocations,CSP SECURITY CATEGORY,Record,,,PIC X(20),20,225-244,225,244,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,FILLER,Record,,,PIC X(256),256,245-500,245,500,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,RECORD NUMBER,Trailer,,,PIC X(01),1,1-Jan,1,1,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,FILLER,Trailer,,,PIC X(20),20,21-Feb,2,21,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,TOTAL RECORDS,Trailer,,,PIC 9(15),15,22-36,22,36,,,N,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,FILLER,Trailer,,,PIC X(05),5,37-41,37,41,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,TOTAL LOGICAL RECORDS,Trailer,,,PIC 9(15),15,42-56,42,56,,,N,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
College Savings Plan 529 Allocations,FILLER,Trailer,,,PIC X(444),444,57-500,57,500,,,AN,4.0.0,04/19/2021 - Replaced FCCS with Fidelity Institutional℠,4/19/2021,,7/20/2018,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,RECORD NUMBER,Header,,,PIC X(01),1,1-Jan,1,1,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,SUPER BRANCH,Header,,,PIC X(03),3,4-Feb,2,4,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,FILLER,Header,,,PIC X(17),17,21-May,5,21,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,FILE ORIGIN,Header,,,PIC X(16),16,22-37,22,37,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,FILLER,Header,,,PIC X(04),4,38-41,38,41,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,FILE TITLE,Header,,,PIC X(20),20,42-61,42,61,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,FILLER,Header,,,PIC X(01),1,62-62,62,62,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,HEADER DATE,Header,,,PIC X(06),6,63-68,63,68,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,FILLER,Header,,,PIC X(12),12,69-80,69,80,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,RECORD NUMBER,Record,,,PIC X(01),1,1-Jan,1,1,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,BRANCH,Record,,,PIC X(03),3,4-Feb,2,4,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,ACCOUNT NUMBER,Record,,,PIC X(06),6,10-May,5,10,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,FIRM DESIGNATED ID (FDID),Record,,,PIC X(40),40,Nov-50,11,50,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,FIRM DESIGNATED ID (FDID) CREATE DATE,Record,,,PIC X(08),8,51-58,51,58,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,FILLER,Record,,,PIC X(22),22,59-80,59,80,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,RECORD NUMBER,Trailer,,,PIC X(01),1,1-Jan,1,1,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,FILLER,Trailer,,,PIC X(20),20,21-Feb,2,21,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,TOTAL RECORDS,Trailer,,,PIC 9(15),15,22-36,22,36,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,FILLER,Trailer,,,PIC X(04),4,37-40,37,40,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,TOTAL LOGICAL RECORDS,Trailer,,,PIC 9(15),15,41-55,41,55,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Firm Designated ID Transmission,FILLER,Trailer,,,PIC X(25),25,56-80,56,80,,,AN,4.0.1,06/02/2021 - Corrected Trailer FILLER length,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,RECORD NUMBER,Header,,,PIC X(01),1,1-Jan,1,1,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,SUPER BRANCH,Header,,,PIC X(03),3,4-Feb,2,4,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,FILLER,Header,,,PIC X(17),17,21-May,5,21,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,FILE ORIGIN,Header,,,PIC X(16),16,22-37,22,37,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,FILLER,Header,,,PIC X(04),4,38-41,38,41,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,FILE TITLE,Header,,,PIC X(20),20,42-61,42,61,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,FILLER,Header,,,PIC X(01),1,62-62,62,62,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,HEADER DATE,Header,,,PIC X(06),6,63-68,63,68,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,FILLER,Header,,,PIC X(14932),14932,69-15000,69,15000,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,RECORD NUMBER,Record,,,PIC X(01),1,1-Jan,1,1,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,BRANCH,Record,,,PIC X(03),3,4-Feb,2,4,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,ACCOUNT NUMBER,Record,,,PIC X(06),6,10-May,5,10,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,FIRM ROE ID,Record,,,PIC X(64),64,Nov-74,11,74,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,ACCOUNT HOLDER TYPE,Record,,,PIC X(01),1,75-75,75,75,FBSI BNAM MANT,OATS ATC:,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,ATS ORDER TYPE,Record,,,PIC X(200),200,76-275,76,275,,,Array,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,CANCEL QUANTITY,Record,,,PIC X(20),20,276-295,276,295,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,CAPACITY,Record,,,PIC X(01),1,296-296,296,296,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,CUSTOMER DISPLAY INSTRUCTION FLAG,Record,,,PIC X(05),5,297-301,297,301,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,DEPARTMENT TYPE,Record,,,PIC X(05),5,302-306,302,306,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,FILLER,Record,,,PIC X(10),10,307-316,307,316,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,DESTINATION TYPE,Record,,,PIC X(01),1,317-317,317,317,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,DISPLAY PRICE,Record,,,PIC X(20),20,318-337,318,337,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,DISPLAY QUANTITY,Record,,,PIC X(12),12,338-349,338,349,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,ELECTRONIC TIMESTAMP,Record,,,PIC X(25),25,350-374,350,374,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,EXCHANGE ORIGIN CODE,Record,,,PIC X(10),10,375-384,375,384,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,FIRM DESIGNATED ID,Record,,,PIC X(40),40,385-424,385,424,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,FULFILLMENT ID,Record,,,PIC X(64),64,425-488,425,488,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,CAT HANDLING INSTRUCTIONS,Record,,,PIC X(200),200,489-688,489,688,,,Object,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,INFO BARRIER ID,Record,,,PIC X(20),20,689-708,689,708,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,INITIATOR,Record,,,PIC X(01),1,709-709,709,709,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,INTERMARKET SWEEP ORDER IND,Record,,,PIC X(05),5,710-714,710,714,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,LEAVES QUANTITY,Record,,,PIC X(20),20,715-734,715,734,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,MANUAL FLAG,Record,,,PIC X(05),5,735-739,735,739,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,MARKET CENTER ID,Record,,,PIC X(05),5,740-744,740,744,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,MINIMUM QUANTITY,Record,,,PIC X(12),12,745-756,745,756,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,NBBO SOURCE,Record,,,PIC X(02),2,757-758,757,758,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,NBBO TIMESTAMP,Record,,,PIC X(25),25,759-783,759,783,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,NBB PRICE,Record,,,PIC X(20),20,784-803,784,803,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,NBB QTY,Record,,,PIC X(12),12,804-815,804,815,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,NBO PRICE,Record,,,PIC X(20),20,816-835,816,835,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
Consolidated Audit Trail (CAT) Transactions Transmission,NBO QTY,Record,,,PIC X(12),12,836-847,836,847,,,AN,5.0.0,11/01/2021 - Expand to 15000 bytes; new CAT Phase 2D fields,6/2/2021,,2/21/2020,TRUE
