table_name,record_type,field,sub_table_name
FamilyMember,F,Client V2 Handle,
FamilyMember,M,Record Type,Family Member
FamilyMember,M,Customer Id,
FamilyMember,M,Entity Type,
FamilyMember,M,Family Member Id,
FamilyMember,M,First Name PII,
FamilyMember,M,Middle Name PII,
FamilyMember,M,Last Name PII,
FamilyMember,M,Salutation,
FamilyMember,M,Relationship,
FamilyMember,M,Date of Birth PII,
FamilyMember,M,Gender PII,
FamilyMember,M,Marital Status PII,
FamilyMember,M,Dependents PII,
FamilyMember,M,SSN/TIN PII,
FamilyMember,M,Employment Status PII,
FamilyMember,M,Occupation PII,
FamilyMember,M,Income Source PII,
FamilyMember,M,Employer Name PII,
FamilyMember,M,Years Employed PII,
FamilyMember,M,Country of Citizenship/Organization PII,
FamilyMember,M,Tax Residence Country PII,
FamilyMember,M,External Member Code,
FamilyMember,M,Family Member V2 Handle,
FamilyMember,C,Record Type,Contact
FamilyMember,C,Owner Id,
FamilyMember,C,Owner Type,
FamilyMember,C,Contact Type PII,
FamilyMember,C,Contact Name PII,
FamilyMember,C,Address Type PII,
FamilyMember,C,Address Line 1 PII,
FamilyMember,C,Address Line 2 PII,
FamilyMember,C,City PII,
FamilyMember,C,State PII,
FamilyMember,C,Zip PII,
FamilyMember,C,Country PII,
FamilyMember,C,Phone 1 PII,
FamilyMember,C,Phone 2 PII,
FamilyMember,C,Fax PII,
FamilyMember,C,Email PII,
FamilyMember,C,Use as QPR Mailing Address,
FamilyMember,A,Record Type,Client Activity
FamilyMember,A,Activity Id,
FamilyMember,A,Customer Id,
FamilyMember,A,Activity Type,
FamilyMember,A,Activity Details,
FamilyMember,A,Date Posted,
FamilyMember,A,Posted By PII,
FamilyMember,R,Record Type,Client Restriction
FamilyMember,R,Restriction Id,
FamilyMember,R,Customer Id,
FamilyMember,R,Restriction Type,
FamilyMember,R,Entity Id,
FamilyMember,R,Issued On,
FamilyMember,R,Expired On,
FamilyMember,R,Memo,
FamilyMember,R,Updated By PII,
FamilyMember,R,Restricted Value,
FamilyMember,R,Restriction Source,
FamilyMember,I,Record Type,Investment Group Level Restrictions
FamilyMember,I,Goal Id,
FamilyMember,I,Goal Name,
FamilyMember,I,Restriction Type,
FamilyMember,I,Restricted Value,
FamilyMember,I,Memo,
FamilyMember,I,Buy Restriction,
FamilyMember,I,Sell Restriction,
FamilyMember,I,Issued On,
FamilyMember,I,Expired On,
FamilyMember,I,Updated By PII,
Performance,,Performance Reporting Date,
Performance,,Account Id,
Performance,,Account Number,
Performance,,Beginning Market Value - MTD,
Performance,,Beginning Market Value - QTD,
Performance,,Beginning Market Value - YTD,
Performance,,Beginning Market Value - 1 Year,
Performance,,Beginning Market Value - 3 Years,
Performance,,Beginning Market Value - 5 Years,
Performance,,Beginning Market Value - Inception,
Performance,,Net Contributions And Withdrawals - MTD,
Performance,,Net Contributions And Withdrawals - QTD,
Performance,,Net Contributions And Withdrawals - YTD,
Performance,,Net Contributions And Withdrawals - 1 Year,
Performance,,Net Contributions And Withdrawals - 3 Years,
Performance,,Net Contributions And Withdrawals - 5 Years,
Performance,,Net Contributions And Withdrawals - Inception,
Performance,,End Market Value on Reporting Date,
Performance,,Beginning Accrued - MTD,
Performance,,Beginning Accrued - QTD,
Performance,,Beginning Accrued - YTD,
Performance,,Beginning Accrued - 1 Year,
Performance,,Beginning Accrued - 3 Years,
Performance,,Beginning Accrued - 5 Years,
Performance,,Beginning Accrued - Inception,
Performance,,End Accrued,
Performance,,Fee - MTD,
Performance,,Fee - QTD,
Performance,,Fee - YTD,
Performance,,Fee - 1 Year,
Performance,,Fee - 3 Years,
Performance,,Fee - 5 Years,
Performance,,Fee - Inception to Date,
Performance,,Currency,
Performance,,Account Performance GOF - MTD,
Performance,,Account Performance GOF - QTD,
Performance,,Account Performance GOF - YTD,
Performance,,Account Performance GOF - 1 Year,
Performance,,Account Performance GOF - 3 Years,
Performance,,Account Performance GOF - 5 Years,
Performance,,Account Performance GOF - Inception to Date,
Performance,,Account Performace NOF - MTD,
Performance,,Account Performace NOF - QTD,
Performance,,Account Performace NOF - YTD,
Performance,,Account Performace NOF - 1 Year,
Performance,,Account Performace NOF - 3 Years,
Performance,,Account Performace NOF - 5 Years,
Performance,,Account Performace NOF - Inception to Date,
Performance,,Beginning Market Value - Trailing 3 Months,
Performance,,Net Contributions And Withdrawals - Trailing 3 Months,
Performance,,Beginning Accrued - Trailing 3 Months,
Performance,,Fee - Trailing 3 Months,
Performance,,Account Performance GOF - Trailing 3 Months,
Performance,,Account Performance NOF - Trailing 3 Months,
StylePerformance,,Account Id,
StylePerformance,,Account Number,
StylePerformance,,As of Date,
StylePerformance,,Style Type Id,
StylePerformance,,Twrr Net of Fee,
StylePerformance,,Market Value,
StylePerformance,,Accrued Income,
StylePerformance,,Accrued Interest,
StylePerformance,,Twrr Gross of Fee,
StylePerformance,,Currency,
StylePerformance,,Period Type,
StylePerformance,,Net Contribution,
SleeveTransaction,,Transaction Id,
SleeveTransaction,,Account Id,
SleeveTransaction,,Account Number,
SleeveTransaction,,Transaction Type,
SleeveTransaction,,Security Id,
SleeveTransaction,,CUSIP,
SleeveTransaction,,Ticker,
SleeveTransaction,,Transaction Description,
SleeveTransaction,,Transaction Date,
SleeveTransaction,,Transaction Amount,
SleeveTransaction,,Transaction Units,
SleeveTransaction,,Commission,
SleeveTransaction,,Deleted Flag,
SleeveTransaction,,Settlement Date,
SleeveTransaction,,Sec Fee,
SleeveTransaction,,Postage Fee,
SleeveTransaction,,Clearing Fee,
SleeveTransaction,,Exchange Fee,
SleeveTransaction,,Ticket Charge,
SleeveTransaction,,Handling Fee,
SleeveTransaction,,Redemption Fee,
SleeveTransaction,,Deferred Sales Load Fee,
SleeveTransaction,,Concession,
SleeveTransaction,,Accrued Interest,
SleeveTransaction,,Owning Rep Id,
SleeveTransaction,,Executing Rep Id,
SleeveTransaction,,Posted Date,
SleeveTransaction,,Transaction Mapping Id,
SleeveTransaction,,Exchange Id,
SleeveTransaction,,Revenue Concession,
SleeveTransaction,,Execution Price,
SleeveTransaction,,Security Type,
SleeveTransaction,,Security Style,
SleeveTransaction,,Trade Currency,
SleeveTransaction,,Settlement Currency,
SleeveTransaction,,Sales Charge Percentage,
SleeveTransaction,,External Transaction Id,
SleeveTransaction,,Corporate Action Related,
SleeveTransaction,,Owner Type,
SleeveTransaction,,Owner Id,
SleeveTransaction,,Transaction Source,
